,Word,Frequency
386,simple,3
387,turn,1
388,out,11
389,well........,1
390,bless,3
391,you.....1d1,1
392,(1)priyapawar2112This,1
393,so...,1
394,delicious...nd,1
395,look,5
396,so.....,1
397,amazing...will,1
398,gonna,3
399,😋❤️1d1,1
400,(1)cook_the_leisureAhaaa,1
401,kinds,1
402,sweet,2
403,spicy,3
404,tangy,1
405,taste,4
406,buds😍😍😍Quick,1
407,fix,1
408,any,5
409,hunger1d3,1
410,(1)f.heenaHung,1
411,curd,1
412,spinach💕❤️❤️1d1,1
413,(1)anuchibiGreat,1
414,chef..👌👌👌all,1
415,four,1
416,types👌👌👍1d1,1
417,(1)taste_and_tellusWill,1
418,👌👌👌1d1,1
419,(1)artisanjuBest,1
420,part,1
421,ur,16
422,cooking..,1
423,👌Simple,1
424,follow1dReplyView,1
425,(1)teekhi_mircheeeThis,1
426,looks,12
427,delicious❤️1d1,1
428,(1)sinfulhun._Seeing,1
429,makes,1
430,mouth,3
431,water,5
432,too,4
433,good😢1dReplyView,1
434,(1)thehiddenhappiness_U,1
435,tempting,2
436,😍,5
437,❤️,1
438,u1d1,1
439,likeReplycheesenchilliesYum,1
440,yum,2
441,yum1d1,1
442,likeReplybabita_agarwalllYour,1
443,great1d1,1
444,likeReply1,3
445,day,7
446,othersyourfoodlabVerifiedMy,1
447,Recipe,2
448,now,7
449,YouTube!,3
450,Really,2
451,excited,2
452,about,9
453,recipes.,1
454,As,1
455,❤️....#recipe,1
456,#sandwiches,1
457,#sandwichesofinstagram,1
458,#bombaysandwich,1
459,#foodiesofinstagram,2
460,#foodpics,1
461,#foodlover,1
462,#cravings,1
463,#streetfood2dwhoneerenshahAray,1
464,bhai,4
465,bandh,1
466,karo,3
467,yeh,1
468,sab,2
469,paryushan,1
470,chalu,1
471,hai😭2d55,1
472,(27)geetika.herePlease,1
473,puran,1
474,poli😋2d3,1
475,(3)divyaagramsWatching,1
476,right,2
477,before,1
478,go,3
479,sleep!,1
480,💛2d2,1
481,(1)shahgadaurviParyushan-,1
482,jain,1
483,festive,1
484,on.,1
485,Pls,2
486,dnt,1
487,do,7
488,🙈😂2d1,1
489,(1)rawlanideeIts,1
490,hw,1
491,u,12
492,receipe,1
493,great,6
494,chef💗👍👌🙏2d2,1
495,(1)deepikasankhalaSir,1
496,please,4
497,teach,1
498,🙏,1
499,plzzz2d1,1
500,(2)iam_adii_pvttEven,1
501,♥️2d1,1
502,(1)nishaalasheI,1
503,waiting,2
504,recipe2d1,1
505,(1)irresistible_delicacyAmazing!!,1
506,Was,1
507,recipe.😍😍2d1,1
508,(1)nanditasbLooks,1
509,legit!,1
510,👏🏼👏🏼,1
511,one!!,1
512,fond,1
513,growing,1
514,😍2d1,1
515,(1)nikitakukreja_An,1
516,exact,1
517,reminder,1
518,Raju,1
519,KC,1
520,HR,1
521,Churchgate,1
522,serve2d2,1
523,(1)ujwalahemadriI,1
524,sir,5
525,❤️2d3,1
526,(1)2,1
527,othersyourfoodlabVerifiedChinese,2
528,pocket,9
529,samosa,5
530,@sanjyotkeer...Chinese,1
531,holds,2
532,very,12
533,place,9
534,heart!,2
535,visiting,2
536,local,4
537,farsanwala,4
538,stock,2
539,house,2
540,everytime,2
541,visited,2
542,"him,",2
543,handing,2
544,couple,2
545,Chinese,9
546,samosas,4
547,free.,2
548,It,6
549,routine,2
550,us.,2
551,Last,2
552,having,6
553,random,2
554,conversation,2
555,neighbourhood,2
556,instantly,2
557,remembered,2
558,nostalgic,2
559,memory,2
560,free,6
561,farsanwala!,2
